region,effect_size
lh_bankssts,0.7543139835119839
lh_caudalanteriorcingulate,-0.6970238177363005
lh_caudalmiddlefrontal,0.9161772759581488
lh_cuneus,0.7377783698330079
lh_entorhinal,1.215399328702734
lh_frontalpole,0.2261160256427727
lh_fusiform,1.1448562995248504
lh_inferiorparietal,1.1340487176500782
lh_inferiortemporal,1.019447571909272
lh_isthmuscingulate,0.31923648199393634
lh_lateraloccipital,1.0286315323375368
lh_lateralorbitofrontal,0.5615493294941241
lh_lingual,0.6929159955698017
lh_medialorbitofrontal,0.4652412137479014
lh_middletemporal,1.0647535890397462
lh_paracentral,0.16183606603035056
lh_parahippocampal,0.6584218332526631
lh_parsopercularis,0.8980292239316765
lh_parsorbitalis,-0.021130125499435812
lh_parstriangularis,0.08842314579026574
lh_pericalcarine,0.5902192510217185
lh_postcentral,0.6781817349898568
lh_posteriorcingulate,0.13493351984206028
lh_precentral,0.4663791361726725
lh_precuneus,1.2880487138004506
lh_rostralanteriorcingulate,0.18676812802348303
lh_rostralmiddlefrontal,0.48251222563846247
lh_superiorfrontal,0.6968790858921154
lh_superiorparietal,1.1003943291959368
lh_superiortemporal,0.891856497879372
lh_supramarginal,0.966394035990133
lh_temporalpole,0.8689970614278228
lh_transversetemporal,0.11443717607518464
lh_insula,0.3043075408407204
rh_bankssts,0.5782622397213042
rh_caudalanteriorcingulate,0.707086619856953
rh_caudalmiddlefrontal,0.9436226274068547
rh_cuneus,0.460326679844769
rh_entorhinal,0.7458629638192082
rh_frontalpole,0.16445982183811508
rh_fusiform,0.9841094687158797
rh_inferiorparietal,1.2595268854575843
rh_inferiortemporal,0.9876920267965468
rh_isthmuscingulate,0.754438830191419
rh_lateraloccipital,0.708270073359335
rh_lateralorbitofrontal,0.5109391774014092
rh_lingual,0.5772051211091402
rh_medialorbitofrontal,0.3821251179507266
rh_middletemporal,1.0973769333656782
rh_paracentral,0.37271398984087284
rh_parahippocampal,0.37538553197303387
rh_parsopercularis,0.360449385948163
rh_parsorbitalis,0.26781414190120684
rh_parstriangularis,0.21528003769405143
rh_pericalcarine,0.3264169432127738
rh_postcentral,0.546977993923519
rh_posteriorcingulate,0.6668748085289502
rh_precentral,0.47655236433736226
rh_precuneus,1.3021671349524289
rh_rostralanteriorcingulate,0.4043863876219537
rh_rostralmiddlefrontal,0.49354090098332165
rh_superiorfrontal,0.6927278249697323
rh_superiorparietal,1.1134469876071493
rh_superiortemporal,0.7095896167420948
rh_supramarginal,0.8672254829605828
rh_temporalpole,0.5138718789339635
rh_transversetemporal,-0.04939324253130979
rh_insula,0.05045231622605803
